"","name",".y.","group1","group2","p","p.adj","p.format","p.signif","method"
"1","All Cells/Lymphocytes/Single Cells/Live","value","EtOH","Ctl",0.790780116938806,1,"0.79078","ns","Wilcoxon"
"2","CD3+","value","EtOH","Ctl",0.000155400155400155,0.0057,"0.00016","***","Wilcoxon"
"3","CD4+","value","EtOH","Ctl",0.874367061162892,1,"0.87437","ns","Wilcoxon"
"4","CD4+/CD69+","value","EtOH","Ctl",0.0156377912348736,0.31,"0.01564","*","Wilcoxon"
"5","CD4+/OX40+","value","EtOH","Ctl",0.00860255056410745,0.22,"0.00860","**","Wilcoxon"
"6","CD4+/PD-1+","value","EtOH","Ctl",0.00699300699300699,0.19,"0.00699","**","Wilcoxon"
"7","CD4+/Q1: CD69+ OX40-","value","EtOH","Ctl",0.00535103439018157,0.16,"0.00535","**","Wilcoxon"
"8","CD4+/Q1: CD69+ PD1-","value","EtOH","Ctl",0.00628449611505754,0.18,"0.00628","**","Wilcoxon"
"9","CD4+/Q1: OX40+ PD1-","value","EtOH","Ctl",0.000621600621600622,0.022,"0.00062","***","Wilcoxon"
"10","CD4+/Q2: CD69+ OX40+","value","EtOH","Ctl",0.0147630147630148,0.31,"0.01476","*","Wilcoxon"
"11","CD4+/Q2: CD69+ PD1+","value","EtOH","Ctl",0.0135184698402608,0.3,"0.01352","*","Wilcoxon"
"12","CD4+/Q2: CD69+ PD1+/OX40+","value","EtOH","Ctl",0.0147630147630148,0.31,"0.01476","*","Wilcoxon"
"13","CD4+/Q2: CD69+ PD1+/OX40+ of CD69+ PD1+","value","EtOH","Ctl",0.160528360528361,1,"0.16053","ns","Wilcoxon"
"14","CD4+/Q2: OX40+ PD1+","value","EtOH","Ctl",0.0147630147630148,0.31,"0.01476","*","Wilcoxon"
"15","CD4+/Q3: CD69- OX40+","value","EtOH","Ctl",0.0104118104118104,0.26,"0.01041","*","Wilcoxon"
"16","CD4+/Q3: CD69- PD1+","value","EtOH","Ctl",0.0206682206682207,0.35,"0.02067","*","Wilcoxon"
"17","CD4+/Q3: OX40- PD1+","value","EtOH","Ctl",0.0273095485243929,0.44,"0.02731","*","Wilcoxon"
"18","CD4+/Q4: CD69- OX40-","value","EtOH","Ctl",0.00628449611505754,0.18,"0.00628","**","Wilcoxon"
"19","CD4+/Q4: CD69- PD1-","value","EtOH","Ctl",0.00466200466200466,0.15,"0.00466","**","Wilcoxon"
"20","CD4+/Q4: OX40- PD1-","value","EtOH","Ctl",0.00466200466200466,0.15,"0.00466","**","Wilcoxon"
"21","CD8+","value","EtOH","Ctl",0.505361305361305,1,"0.50536","ns","Wilcoxon"
"22","CD8+/CD69+","value","EtOH","Ctl",0.13038073038073,1,"0.13038","ns","Wilcoxon"
"23","CD8+/OX40+","value","EtOH","Ctl",0.752537727499457,1,"0.75254","ns","Wilcoxon"
"24","CD8+/PD-1+","value","EtOH","Ctl",0.792746526993248,1,"0.79275","ns","Wilcoxon"
"25","CD8+/Q1: CD69+ PD1-","value","EtOH","Ctl",0.0104118104118104,0.26,"0.01041","*","Wilcoxon"
"26","CD8+/Q2: CD69+ PD1+","value","EtOH","Ctl",0.878477078477078,1,"0.87848","ns","Wilcoxon"
"27","CD8+/Q3: CD69- PD1+","value","EtOH","Ctl",0.382284382284382,1,"0.38228","ns","Wilcoxon"
"28","CD8+/Q4: CD69- PD1-","value","EtOH","Ctl",0.103307970131365,1,"0.10331","ns","Wilcoxon"
"29","DN","value","EtOH","Ctl",0.0104118104118104,0.26,"0.01041","*","Wilcoxon"
"30","DN/Q1: CD69+ PD1-","value","EtOH","Ctl",0.00466200466200466,0.15,"0.00466","**","Wilcoxon"
"31","DN/Q2: CD69+ PD1+","value","EtOH","Ctl",0.0379176379176379,0.57,"0.03792","*","Wilcoxon"
"32","DN/Q3: CD69- PD1+","value","EtOH","Ctl",0.000621600621600622,0.022,"0.00062","***","Wilcoxon"
"33","DN/Q4: CD69- PD1-","value","EtOH","Ctl",0.13038073038073,1,"0.13038","ns","Wilcoxon"
"34","CD19+","value","EtOH","Ctl",0.000930972271575002,0.032,"0.00093","***","Wilcoxon"
"35","All Cells/Granulocytes","value","EtOH","Ctl",0.429536845063436,1,"0.42954","ns","Wilcoxon"
"36","All Cells/Lymphocytes","value","EtOH","Ctl",0.0739906272078213,1,"0.07399","ns","Wilcoxon"
"37","All Cells/Monocytes","value","EtOH","Ctl",0.278632478632479,1,"0.27863","ns","Wilcoxon"
